timestamp,coordinates,vehicle_class,car_model_1,car_model_1_accuracy,car_model_2,car_model_2_accuracy,confidence,color_1,color_1_accuracy,color_2,color_2_accuracy,plate_number,plate_confidence,char_confidences,vehicle_image,plate_image
2025-04-25 01:07:46,"(3,4)-(1917,1051)",car,Honda_Odyssey_2009-2015,0.6938650012016296,Honda_Crosstour_2011-2014,0.251974880695343,0.8958113789558411,black,0.6601244211196899,green,0.18464840948581696,7231UTJ,0.9050975441932678,0.8862095390047345,"[0.9463271498680115, 0.9305397868156433, 0.9171152114868164, 0.8997781872749329, 0.8581751585006714, 0.8336959481239319, 0.8178353309631348]",detections/20250425-010745_vehicle.jpg,detections/20250425-010745_plate.jpg
2025-04-25 01:07:50,"(2,4)-(1917,1051)",car,BYD_e6_2009-2014,0.22586455941200256,Honda_Odyssey_2009-2015,0.2114667147397995,0.9053842425346375,black,0.8208986520767212,blue,0.07967662066221237,7231UTJ,0.900434672832489,0.8854598488126483,"[0.9341127276420593, 0.928715705871582, 0.9098361134529114, 0.8939882516860962, 0.8793878555297852, 0.8381264209747314, 0.8140518665313721]",detections/20250425-010749_vehicle.jpg,detections/20250425-010749_plate.jpg
2025-04-25 01:07:55,"(1,4)-(1917,1052)",car,KIA_K5_2011-2015,0.49883636832237244,Honda_Odyssey_2009-2015,0.34927332401275635,0.9503944516181946,black,0.545330822467804,green,0.2845318913459778,7231UTJ,0.9018040895462036,0.8981889741761344,"[0.957760751247406, 0.9438611268997192, 0.9021610021591187, 0.901726484298706, 0.8906995058059692, 0.8708404898643494, 0.8202734589576721]",detections/20250425-010753_vehicle.jpg,detections/20250425-010753_plate.jpg
2025-04-25 01:08:32,"(462,6)-(1917,1058)",car,Honda_Crider_2013-2015,0.9563964605331421,Honda_Odyssey_2009-2015,0.02545093558728695,0.8772574663162231,black,0.7659611105918884,green,0.10824662446975708,7,0.8470637798309326,0.5642464756965637,[0.5642464756965637],detections/20250425-010829_vehicle.jpg,detections/20250425-010829_plate.jpg
2025-04-25 01:08:39,"(2,4)-(1917,1047)",car,Honda_Odyssey_2009-2015,0.7916653752326965,Honda_Crider_2013-2015,0.2032414674758911,0.8953588604927063,blue,0.7331791520118713,black,0.157505065202713,7231UTJ,0.9023833274841309,0.8865146126065936,"[0.9376626014709473, 0.9231958389282227, 0.9050856232643127, 0.8941859602928162, 0.8878909349441528, 0.8455550670623779, 0.8120262622833252]",detections/20250425-010836_vehicle.jpg,detections/20250425-010836_plate.jpg
2025-04-25 01:08:44,"(1,4)-(1917,1050)",car,Honda_Odyssey_2009-2015,0.9820521473884583,Toyota_Avensis_2009-2015,0.005775510333478451,0.9290748238563538,blue,0.7591349482536316,black,0.15359483659267426,7231UTJ,0.900543212890625,0.8856684395245144,"[0.9391953945159912, 0.9075803160667419, 0.9027618765830994, 0.8947604298591614, 0.861109733581543, 0.8497538566589355, 0.8445174694061279]",detections/20250425-010841_vehicle.jpg,detections/20250425-010841_plate.jpg
2025-04-25 01:08:49,"(2,4)-(1916,1051)",car,Honda_Odyssey_2009-2015,0.5601950883865356,Honda_Crosstour_2011-2014,0.3562997281551361,0.9099941253662109,blue,0.4917094111442566,black,0.4186342656612396,7231UTJ,0.919333279132843,0.8841604164668492,"[0.955636739730835, 0.9323216676712036, 0.8843492269515991, 0.8838558793067932, 0.8774546980857849, 0.8451849818229675, 0.810319721698761]",detections/20250425-010847_vehicle.jpg,detections/20250425-010847_plate.jpg
2025-04-25 01:18:09,"(26,6)-(1916,1053)",car,Cadillac_ELR_2014,0.48799508810043335,Nissan_Pathfinder_2005-2013,0.3988698422908783,0.7664265632629395,blue,0.9745314717292786,beige,0.008048203773796558,,0.6022372841835022,0.0,[],detections/20250425-011807_vehicle.jpg,detections/20250425-011807_plate.jpg
2025-04-25 01:18:14,"(2,4)-(1916,1054)",car,Honda_Odyssey_2009-2015,0.6138551831245422,Benz_GL Class_2011-2014,0.2790357172489166,0.8014095425605774,black,0.9207686185836792,green,0.05523548647761345,7231UTJ,0.900299608707428,0.8556495138577053,"[0.9393454194068909, 0.8837435841560364, 0.8830373883247375, 0.8775686621665955, 0.8550065755844116, 0.7953259348869324, 0.7555190324783325]",detections/20250425-011812_vehicle.jpg,detections/20250425-011812_plate.jpg
2025-04-25 01:18:19,"(2,3)-(1917,1048)",car,BYD_e6_2009-2014,0.8589797616004944,Toyota_Avensis_2009-2015,0.08088764548301697,0.9027467370033264,green,0.5113310813903809,blue,0.1753050982952118,7231UTJ,0.8989763259887695,0.8683566621371678,"[0.9400297999382019, 0.9209519624710083, 0.8882852792739868, 0.8719492554664612, 0.8703287839889526, 0.8022748231887817, 0.784676730632782]",detections/20250425-011817_vehicle.jpg,detections/20250425-011817_plate.jpg
2025-04-25 01:18:25,"(4,3)-(1916,1051)",car,BYD_e6_2009-2014,0.4796489179134369,Ford_Flex_2004-2013,0.2213423103094101,0.9467237591743469,blue,0.5845850110054016,green,0.19377443194389343,7231UTJ,0.8927953839302063,0.8659350105694362,"[0.9327244162559509, 0.9101780652999878, 0.8929539918899536, 0.8858399987220764, 0.8439458012580872, 0.8435606956481934, 0.7523421049118042]",detections/20250425-011822_vehicle.jpg,detections/20250425-011822_plate.jpg
2025-04-25 01:24:11,"(967,212)-(1917,1065)",car,Mitsubishi_XR-PHEV_2013-2015,0.9155015349388123,Nissan_Pathfinder_2005-2013,0.06860160827636719,0.8271191716194153,beige,0.551672101020813,yellow,0.26955321431159973,N/A,0.0,0.0,[],detections/20250425-012410_vehicle.jpg,N/A
2025-04-25 01:24:15,"(23,7)-(1914,1052)",car,Nissan_Pathfinder_2005-2013,0.7138466835021973,Mitsubishi_XR-PHEV_2013-2015,0.07900270074605942,0.7865667939186096,blue,0.8620568513870239,black,0.0809333547949791,,0.8919082880020142,0.0,[],detections/20250425-012414_vehicle.jpg,detections/20250425-012414_plate.jpg
2025-04-25 01:24:19,"(6,4)-(1916,1052)",car,Ford_Flex_2004-2013,0.6603543162345886,Ford_Edge_2010-2015,0.2112412303686142,0.9357686042785645,blue,0.5348085761070251,black,0.22348333895206451,7231UTJ,0.8955773711204529,0.8649655154773167,"[0.9439823031425476, 0.9064239859580994, 0.8803486227989197, 0.8748582601547241, 0.8412675261497498, 0.8163254857063293, 0.7915524244308472]",detections/20250425-012418_vehicle.jpg,detections/20250425-012418_plate.jpg
